Latitude,Longitude,Name,SITEID
44.517089,-74.126041,LITTLE HOPE POND,20058
44.513597,-74.126729,BIG HOPE POND,20059
44.305758,-74.357208,LITTLE ECHO POND,20126
44.313765,-74.373219,EAST COPPERAS POND,20138
44.337283,-74.371978,MIDDLE POND,20143
44.346088,-74.30065,SUNDAY POND,20188
44.352824,-74.294244,SOCHIA POND,20197
44.323272,-73.90304,OWEN POND,20233
44.180503,-73.967264,HEART LAKE,20264
44.158855,-73.951398,MARCY DAM POND,20265
44.656984,-74.495622,GRASS POND,30171
44.660217,-74.496322,LITTLE CLEAR POND,30172
44.432194,-74.298133,BLACK POND STREAM,30255
44.435068,-74.298566,BLACK POND,30256
43.963601,-75.04253,LOON HOLLOW POND,40186
43.970776,-74.957396,WILLYS LAKE,40210
43.870078,-74.952681,WOODS LAKE,40576
43.682807,-75.101427,MIDDLE SETTLEMENT LAKE,40704
43.693004,-75.060844,GRASS POND,40706
43.699117,-75.100869,MIDDLE BRANCH LAKE,40707
43.760879,-74.91592,LAKE RONDAXE,40739
43.781396,-74.852986,MOSS LAKE,40746
43.789104,-74.812042,CASCADE LAKE,40747
43.783687,-74.836591,CASCADE LAKE STREAM,040747A
43.793758,-74.872572,DART LAKE,40750
43.803945,-74.849111,WINDFALL POND STREAM-STA1,040750A
43.804966,-74.830768,WINDFALL POND-STA2,040750A
43.816874,-74.856111,BIG MOOSE LAKE,40752
43.813576,-74.883735,WEST POND STREAM-STA1,40753
43.81189,-74.88296,WEST POND-STA2,40753
43.821698,-74.882463,SQUASH POND STREAM-STA1,40754
43.825567,-74.886135,SQUASH POND-STA2,40754
43.825091,-74.838501,CONSTABLE POND STREAM-STA1,40777
43.831008,-74.80642,CONSTABLE POND-STA2,40777
43.713005,-74.812459,LIMEKILN LAKE,40826
43.635083,-74.739599,SQUAW LAKE,40850
43.622864,-74.760748,INDIAN LAKE,40852
43.600966,-74.660624,BROOK TROUT LAKE,40874
43.646729,-74.557932,LOST POND,40887
43.566259,-75.227007,BARNES LAKE,40905
43.510956,-74.875888,SOUTH LAKE,41004
43.527752,-74.939567,NORTH LAKE,41007
43.370287,-74.24624,WILLIS LAKE -STA1,50215
43.369628,-74.243171,WILLIS LAKE-STA2,50215
43.302775,-74.591444,JOCKEYBUSH LAKE,50259
43.995675,-73.83082,CLEAR POND,50458
43.857403,-74.090344,NATE POND,50577
43.837892,-74.479025,LONG POND,50649
43.682037,-74.488558,CARRY POND,50669
43.982301,-74.235563,ARBUTUS LAKE,50684
44.119375,-73.982608,LAKE COLDEN,50706
44.130562,-73.969826,AVALANCHE LAKE,50707
44.161537,-74.441303,LITTLE SIMON POND,60182
43.76605,-74.628371,SAGAMORE LAKE,60313
43.794924,-74.651303,RAQUETTE LAKE RESERVOIR,060315A
43.805956,-74.803521,QUEER LAKE,60329
43.18109,-74.503201,OTTER LAKE STREAM,70728
43.184663,-74.504155,OTTER LAKE,70729
43.417142,-74.633945,G LAKE,70859
43.780878,-74.853394,BUBB LAKE STREAM-STA1,40748
43.774988,-74.846406,BUBB LAKE-STA2,40748
