ConfirmedDate,LabNo,ALSC,Station,DepthMeters,SampleDate,Time,SO4,NO3,CI,F,ANC,DIC,DOC,SIO2,CA2+,MG2+,Na+,K+,NH4+,AL_TD,AL_TM,AL_OM,AL_IM,LABPH,AIREQPH,TRUCOLOR,SCONDUCT,TOTAL_PHOS,CHLOROPHYLL
1992.06.01,92L0015,020058,1,0,1992.06.08,1030,4.240,0.072,0.450,0.090,27.900,0.860,12.695,1.810,2.100,0.500,0.700,0.500,0.003,171,,,,5.574,5.770,100,21.25,,
1992.07.01,92L0103,020058,1,0,1992.07.06,0915,4.460,0.044,0.360,0.084,42.300,1.300,12.778,0.300,1.940,0.480,0.670,0.450,0.033,172,154,80,74,5.600,5.950,90,20.61,,
1992.08.01,92L0301,020058,1,0,1992.08.03,1230,4.070,0.048,0.348,0.074,29.660,1.130,12.442,0.190,1.910,0.440,0.670,0.410,0.026,153,132,91,41,5.731,6.030,80,20.35,,
1992.09.01,92L0413,020058,91,0,1992.09.01,1300,4.260,0.039,0.340,0.075,38.520,1.020,11.884,0.850,1.500,0.520,0.730,0.350,0.096,188,79,101,0,5.664,5.820,70,20.45,,
1992.09.01,92L0414,020058,92,0,1992.09.01,1302,4.280,0.047,0.350,0.075,38.550,0.950,11.926,0.850,1.540,0.500,0.720,0.340,0.019,165,73,105,0,5.642,5.820,70,20.17,,
1992.09.01,92L0415,020058,93,0,1992.09.01,1304,4.270,0.051,0.340,0.074,27.940,0.970,12.142,0.850,1.580,0.500,0.720,0.360,0.017,178,78,100,0,5.637,5.790,80,20.55,,
1992.10.01,92L0512,020058,1,0,1992.10.05,1220,4.220,0.000,0.660,0.075,35.730,1.120,11.939,2.420,2.370,0.500,0.650,0.380,-0.021,175,87,97,0,5.670,6.060,90,20.94,,
1992.11.01,92L0607,020058,1,0,1992.11.02,1245,5.270,0.069,0.510,0.074,48.420,2.060,12.807,4.590,2.490,0.600,0.680,0.410,0.091,226,139,125,14,5.713,6.180,140,23.11,,
1992.12.01,92L0678,020058,1,0,1992.12.01,1215,4.410,0.110,0.470,0.073,30.310,1.820,13.419,3.930,2.230,0.530,0.620,0.400,0.080,221,160,126,34,5.462,5.800,110,22.73,,
1993.01.01,93L0014,020058,1,0,1993.01.04,1425,5.260,0.401,0.540,0.083,24.150,1.680,14.460,5.980,2.730,0.600,0.710,0.570,0.088,232,184,102,82,5.247,5.400,140,26.10,,
